######################################

>Done in 344 seconds 

-1789.83128856014

------------------------------------------------

dN/dS = 0.1038 (sample variance = 0.0250914)

Rate[1]=  0.00000706 (weight=0.1000000)
Rate[2]=  0.00022313 (weight=0.1000000)
Rate[3]=  0.00153828 (weight=0.1000000)
Rate[4]=  0.00576405 (weight=0.1000000)
Rate[5]=  0.01575294 (weight=0.1000000)
Rate[6]=  0.03571836 (weight=0.1000000)
Rate[7]=  0.07208963 (weight=0.1000000)
Rate[8]=  0.13588672 (weight=0.1000000)
Rate[9]=  0.25097762 (weight=0.1000000)
Rate[10]=  0.52004602 (weight=0.1000000)

------------------------------------------------

 No rate classes with dN/dS>1.

------------------------------------------------

Tabulated Posteriors for Each Site
Sites in Columns, Rate Classes in Rows
Import the following part into a data processing program
for further analysis


Rate/Site	Rate=7.06475e-06	Rate=0.000223129	Rate=0.00153828	Rate=0.00576405	Rate=0.0157529	Rate=0.0357184	Rate=0.0720896	Rate=0.135887	Rate=0.250978	Rate=0.520046
54	0.162196	0.161803	0.15943	0.152044	0.135939	0.108763	0.0726319	0.0360605	0.0104679	0.000665276
55	0.160248	0.159879	0.157657	0.150727	0.135556	0.109732	0.0748454	0.0385462	0.0119351	0.000874245
56	2.93056e-05	0.000924379	0.00632301	0.0231037	0.0594955	0.119801	0.194893	0.252161	0.237708	0.105561
57	0.159375	0.159018	0.15686	0.15013	0.135366	0.110141	0.0758215	0.0396755	0.012631	0.00098268
58	0.159975	0.159612	0.15742	0.15058	0.135583	0.109984	0.0752346	0.0388305	0.0119566	0.000824426
59	0.135771	0.135631	0.134784	0.132099	0.125966	0.114559	0.0964012	0.0713009	0.0415289	0.0119588
60	0.160614	0.160241	0.157991	0.150975	0.135629	0.10955	0.0744294	0.0380778	0.0116575	0.000834276
61	0.158332	0.157988	0.155909	0.149414	0.135137	0.110625	0.076986	0.0410286	0.0134677	0.00111214
62	0.144789	0.144582	0.143331	0.139385	0.130491	0.114406	0.0901022	0.0594229	0.0282828	0.00520762
63	0.161661	0.161275	0.158944	0.151683	0.135837	0.109033	0.0732418	0.0367402	0.0108648	0.000720732
64	0.147934	0.1477	0.146282	0.141821	0.131817	0.113921	0.0874198	0.0551196	0.0242389	0.00374699
65	2.67837e-05	0.000844927	0.0057835	0.021179	0.0548241	0.11155	0.184936	0.247332	0.247434	0.12609
66	0.157621	0.157286	0.155258	0.148922	0.13497	0.110941	0.0777714	0.0419608	0.0140609	0.00120862
67	2.42494e-19	2.41071e-13	5.41577e-10	1.0489e-07	5.61152e-06	0.000136423	0.00194455	0.0188265	0.136226	0.842861
68	0.158199	0.157856	0.155786	0.149319	0.135099	0.110674	0.0771257	0.0412077	0.0135945	0.0011379
69	0.157763	0.157426	0.155388	0.149019	0.135003	0.110878	0.0776145	0.0417754	0.0139439	0.00119009
70	0.141832	0.141649	0.140542	0.137045	0.129126	0.114664	0.092412	0.0634227	0.0323686	0.0069396
71	0.134092	0.133963	0.133179	0.130693	0.125002	0.114371	0.0973055	0.0733675	0.0442349	0.0137921
72	0.157621	0.157286	0.155258	0.148922	0.13497	0.110941	0.0777714	0.0419608	0.0140609	0.00120862
73	0.159256	0.158902	0.156762	0.150081	0.135414	0.110303	0.0760293	0.0397747	0.0125566	0.000920289
74	0.135757	0.135617	0.134768	0.132076	0.125929	0.114504	0.0963377	0.071268	0.0415954	0.0121472
75	0.141093	0.140916	0.139843	0.136451	0.128763	0.114691	0.0929469	0.0644066	0.0334375	0.00745145
76	0.157621	0.157286	0.155258	0.148922	0.13497	0.110941	0.0777714	0.0419608	0.0140609	0.00120862
77	2.36253e-05	0.000745401	0.00510679	0.0187545	0.0488771	0.100801	0.17127	0.239107	0.258339	0.156975
78	5.30311e-05	0.00167107	0.0113609	0.040705	0.100082	0.183817	0.253333	0.246359	0.1412	0.0214184
79	2.85583e-05	0.000900838	0.00616316	0.0225335	0.0581122	0.11736	0.191952	0.250748	0.240601	0.111601
80	0.137731	0.137579	0.136659	0.133743	0.127095	0.114786	0.0953524	0.0688901	0.0383598	0.00980476
81	0.161348	0.160966	0.158659	0.151473	0.135778	0.109192	0.0735997	0.0371373	0.0110945	0.000751645
82	0.133399	0.133274	0.132515	0.130107	0.124592	0.11427	0.097648	0.0741983	0.0453703	0.0146272
83	0.1583	0.157956	0.155879	0.149392	0.135129	0.11064	0.0770222	0.0410712	0.0134947	0.00111663
84	0.13727	0.13712	0.13621	0.133328	0.126761	0.114608	0.0954428	0.0693666	0.039236	0.0106558
85	1.2447e-05	0.00039295	0.00270203	0.0100408	0.0269064	0.0586585	0.110235	0.183445	0.271091	0.336515
86	0.161163	0.160783	0.15849	0.151346	0.135737	0.109278	0.0738061	0.0373767	0.0112433	0.000775797
87	0.140374	0.140203	0.139164	0.135879	0.128423	0.114739	0.0934921	0.0653745	0.0344512	0.0079003
88	0.159342	0.158985	0.15683	0.150106	0.135356	0.110151	0.0758543	0.0397194	0.0126641	0.000990556
89	7.54487e-15	2.37744e-10	7.79834e-08	4.1148e-06	8.43449e-05	0.00098151	0.00782882	0.0469082	0.216574	0.727619
90	2.73707e-05	0.000863426	0.00590927	0.0216295	0.0559282	0.113542	0.18746	0.248831	0.24539	0.120419
91	0.158829	0.158478	0.156362	0.149755	0.135246	0.110394	0.076431	0.0403846	0.0130706	0.00105138
92	0.120591	0.12053	0.120158	0.11897	0.11621	0.110887	0.101822	0.087705	0.0670803	0.0360475
93	0.157847	0.157509	0.155465	0.149078	0.135022	0.110839	0.07752	0.0416649	0.0138755	0.00117999
94	0.141851	0.141667	0.140557	0.137049	0.12911	0.114619	0.0923487	0.0633806	0.0323995	0.00701825
95	0.138912	0.138751	0.137773	0.134679	0.127643	0.114683	0.0944168	0.0672573	0.0366984	0.00918628
96	0.157621	0.157286	0.155258	0.148922	0.13497	0.110941	0.0777714	0.0419608	0.0140609	0.00120862
97	0.140466	0.140294	0.139251	0.135953	0.128467	0.114734	0.0934232	0.0652514	0.034321	0.00783964
98	0.157621	0.157286	0.155258	0.148922	0.13497	0.110941	0.0777714	0.0419608	0.0140609	0.00120862
99	0.1583	0.157956	0.155879	0.149392	0.135129	0.11064	0.0770222	0.0410712	0.0134947	0.00111663
100	3.22681e-05	0.00101769	0.00695566	0.0253494	0.0648793	0.129056	0.205362	0.255737	0.225378	0.0862317
101	0.14568	0.145466	0.144169	0.140082	0.130883	0.114296	0.0893715	0.0582097	0.027098	0.00474598
102	9.60495e-10	9.57053e-07	4.51835e-05	0.000620888	0.00440738	0.0204696	0.0693142	0.178297	0.340881	0.385964
103	0.157621	0.157286	0.155258	0.148922	0.13497	0.110941	0.0777714	0.0419608	0.0140609	0.00120862
104	0.15871	0.158361	0.156253	0.149672	0.135217	0.110446	0.0765612	0.0405402	0.0131711	0.00106886

