Rate/Site	Rate=0.000822715	Rate=0.00623661	Rate=0.0179363	Rate=0.0368065	Rate=0.0641096	Rate=0.101846	Rate=0.153439	Rate=0.225477	Rate=0.333764	Rate=0.555977
39	2.30119e-13	5.53755e-09	1.0006e-06	3.17488e-05	0.000417754	0.00322111	0.0172859	0.0710948	0.237114	0.670833
40	0.004592	0.0328298	0.0832203	0.139446	0.181531	0.193625	0.170523	0.120233	0.0610735	0.0129272
41	1.24477e-15	2.24039e-10	1.13105e-07	7.02993e-06	0.000150703	0.00168455	0.0120371	0.0614157	0.236661	0.688044
42	2.99878e-10	9.39036e-07	5.72868e-05	0.000844844	0.00596208	0.0263576	0.0827462	0.194669	0.339814	0.349548
43	0.208854	0.197977	0.176397	0.146509	0.11212	0.0776292	0.0471486	0.0236827	0.00855454	0.00112695
44	0.00384755	0.0277538	0.071707	0.123829	0.168155	0.18963	0.179297	0.138194	0.0784526	0.019133
45	0.00769753	0.0534793	0.127438	0.193301	0.217936	0.190657	0.12817	0.0620905	0.018007	0.0012243
46	0.25621	0.234536	0.193829	0.14268	0.0918119	0.0501567	0.0221436	0.00719634	0.00138165	5.43538e-05
47	2.9231e-20	2.95223e-13	1.17106e-09	2.82182e-07	1.62884e-05	0.000389912	0.00506015	0.040985	0.220016	0.733532
48	3.21843e-10	1.00706e-06	6.13364e-05	0.000902112	0.00634025	0.0278626	0.0867072	0.201263	0.343364	0.333499
49	0.00761915	0.0529758	0.126447	0.192291	0.217566	0.191199	0.129246	0.0630107	0.0183928	0.00125201
50	0.254472	0.233288	0.193406	0.143081	0.0927172	0.0511239	0.0228415	0.00753648	0.00147531	5.96091e-05
51	0.189923	0.182165	0.166486	0.144041	0.1169	0.0877259	0.0594043	0.0346437	0.0155711	0.00314006
52	0.00369052	0.0266639	0.069132	0.120062	0.1644	0.187575	0.180276	0.142253	0.0837864	0.02216
53	0.00758343	0.0527451	0.125986	0.191807	0.217364	0.191422	0.129744	0.0634678	0.0186055	0.00127364
54	0.255875	0.234287	0.19373	0.142737	0.0919765	0.0503502	0.0222973	0.00728082	0.00140929	5.65514e-05
55	2.85197e-05	0.00155231	0.0114204	0.03983	0.0920812	0.1599	0.218431	0.233656	0.180674	0.0624265
56	0.25432	0.233181	0.193373	0.14312	0.0927985	0.0512067	0.022898	0.00756173	0.00148118	5.97682e-05
57	0.254694	0.233445	0.193454	0.143022	0.0925978	0.0510024	0.0227588	0.00749972	0.00146684	5.93908e-05
58	0.202649	0.192862	0.173324	0.145958	0.113936	0.081062	0.0510799	0.0269954	0.0105169	0.00161704
59	0.0045761	0.0327471	0.0831692	0.139732	0.18244	0.195031	0.171683	0.120122	0.05935	0.0111489
60	0.00515726	0.0366901	0.0920114	0.151473	0.192053	0.197204	0.16438	0.106688	0.0472009	0.00714156
61	1.68692e-08	7.1755e-06	0.000162142	0.00129003	0.00605215	0.0206048	0.0564517	0.131916	0.272197	0.511319
62	7.59241e-06	0.000425238	0.00332771	0.0128183	0.0342008	0.0723373	0.129183	0.200238	0.268451	0.279011
63	0.259736	0.237076	0.194706	0.141891	0.0899886	0.0481902	0.020708	0.00648367	0.00117837	4.16158e-05
64	2.56484e-10	8.05915e-07	4.95275e-05	0.000738908	0.0052994	0.0239292	0.0771564	0.187581	0.340546	0.364699
65	0.254815	0.23353	0.19348	0.14299	0.0925324	0.0509362	0.0227142	0.00748007	0.00146242	5.92807e-05
66	0.234182	0.218098	0.187064	0.146152	0.102436	0.062885	0.0324725	0.0130604	0.00341062	0.000239826
67	9.28014e-08	3.84385e-05	0.00082013	0.00594919	0.0244272	0.0692223	0.147794	0.244558	0.302491	0.204699
68	0.256491	0.234735	0.193892	0.14261	0.0916631	0.0500028	0.0220364	0.0071466	0.00136901	5.3769e-05
69	0.255092	0.233728	0.193544	0.142923	0.0923866	0.0507834	0.0226062	0.00742908	0.00144913	5.86517e-05
70	7.10867e-16	1.28758e-10	6.5903e-08	4.18863e-06	9.27647e-05	0.00108505	0.00825256	0.0459325	0.201166	0.743467
71	0.00782317	0.0542929	0.129074	0.195045	0.218715	0.189928	0.126415	0.0604108	0.017174	0.00112251
72	2.88451e-08	1.22686e-05	0.000276847	0.00219073	0.0101347	0.0334996	0.0868026	0.18342	0.313905	0.369758
73	2.60602e-05	0.00142178	0.0105134	0.036969	0.0864866	0.152665	0.213267	0.235363	0.190728	0.0725599
74	3.51754e-07	0.000141333	0.00282426	0.0184431	0.0651261	0.150204	0.243128	0.275815	0.197384	0.046934
75	2.23362e-05	0.0012237	0.00913034	0.0325698	0.0777734	0.141157	0.204636	0.237393	0.206528	0.0895657
76	0.254892	0.23359	0.193509	0.142984	0.0924982	0.0508894	0.0226721	0.00745388	0.00145263	5.83613e-05
77	0.254821	0.23354	0.193493	0.143003	0.0925364	0.0509284	0.0226988	0.00746585	0.00145543	5.84408e-05
78	2.17199e-05	0.00119004	0.00888126	0.0317001	0.0757965	0.137942	0.20105	0.235736	0.209854	0.097829
79	2.45225e-10	7.70553e-07	4.73587e-05	0.000706751	0.00507236	0.0229402	0.0742152	0.18171	0.335297	0.38001
80	0.254415	0.233248	0.193394	0.143096	0.0927478	0.0511545	0.0228621	0.00754543	0.00147728	5.9644e-05
81	0.21864	0.205912	0.180912	0.146901	0.108809	0.0720229	0.0411459	0.0189872	0.00604884	0.000621455
82	0.00796198	0.0551951	0.130903	0.197032	0.219665	0.189188	0.124455	0.0584557	0.0161569	0.000988255
83	0.00367976	0.02658	0.0688844	0.119572	0.163678	0.186815	0.179871	0.142628	0.0849941	0.0232983
84	7.20467e-06	0.000403869	0.00316638	0.0122337	0.0327843	0.0697654	0.12564	0.197062	0.268957	0.28998
85	0.254731	0.233474	0.193468	0.143019	0.0925811	0.0509797	0.0227385	0.00748713	0.00146214	5.89419e-05
86	2.25277e-05	0.0012337	0.0091971	0.0327652	0.0781043	0.141459	0.204593	0.236824	0.205854	0.0899469
87	0.254811	0.233527	0.193478	0.142991	0.0925347	0.0509391	0.0227164	0.00748132	0.00146281	5.93063e-05
88	2.80362e-05	0.00152487	0.0112023	0.0389956	0.0899902	0.156172	0.213918	0.231316	0.184658	0.0721944
89	0.00476437	0.0340302	0.0860765	0.143668	0.185798	0.196016	0.169457	0.115609	0.0550034	0.00957623
90	0.00761238	0.0529249	0.12631	0.192066	0.217331	0.191098	0.12938	0.0633149	0.0186517	0.00131058
91	6.4054e-06	0.000359778	0.00283281	0.0110206	0.0298287	0.064351	0.118068	0.190027	0.269513	0.313993
92	0.258653	0.236294	0.194433	0.142129	0.0905465	0.0487961	0.0211536	0.00670703	0.00124305	4.5803e-05
93	9.85989e-17	1.82648e-11	9.81191e-09	6.73921e-07	1.66822e-05	0.000227182	0.00212101	0.0156407	0.103669	0.878325
94	4.11196e-16	7.50028e-11	3.89694e-08	2.53654e-06	5.81039e-05	0.00071112	0.00574137	0.0346141	0.170035	0.788837
95	0.255412	0.233963	0.193636	0.142865	0.0922277	0.0506001	0.022463	0.00735176	0.00142439	5.67597e-05
96	0.177477	0.171381	0.158941	0.140825	0.118338	0.093242	0.0675674	0.0433946	0.0226165	0.0062178
97	0.25432	0.233181	0.193373	0.14312	0.0927985	0.0512067	0.022898	0.00756173	0.00148118	5.97682e-05
98	0.00700718	0.0489866	0.118303	0.183315	0.213067	0.19425	0.137964	0.0719749	0.0232078	0.00192585
99	3.91711e-10	1.22168e-06	7.38853e-05	0.00107446	0.0074301	0.0319372	0.0964765	0.215073	0.346207	0.301726
100	2.47786e-05	0.0013532	0.010028	0.0353889	0.0832378	0.148091	0.209282	0.23512	0.196494	0.0809803
101	5.61095e-11	1.79845e-07	1.15375e-05	0.000184478	0.00146255	0.00758531	0.0295581	0.0936229	0.253055	0.61452
102	4.39498e-05	0.00234865	0.0166272	0.0546863	0.116952	0.184627	0.225868	0.21358	0.143842	0.0414253
103	0.00764882	0.0531668	0.126825	0.192682	0.217718	0.191002	0.128835	0.0626487	0.0182348	0.00123912
